#SampleID	StudyID	StudyName	Treatment	Host	HostSpecific	RootCompartment	Inoculum	Primers
SRR5225239	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225240	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225241	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225242	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225243	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225273	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5225276	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225279	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225280	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5225281	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5225282	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5225283	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459436	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Zea mays	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459438	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459439	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Zea mays	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459441	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459442	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459444	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459445	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459448	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459449	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5459450	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459451	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459453	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459455	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Endosphere	Not available for this type of experiment	341F,785R
SRR5459456	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459457	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459459	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459460	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459462	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459463	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459465	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459466	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Cenchrus americanus	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459468	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459469	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459471	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459472	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459474	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459475	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Cenchrus americanus	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459476	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Cenchrus americanus	Endosphere	Not available for this type of experiment	341F,785R
SRR5459478	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Zea mays	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459481	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459485	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459486	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459487	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5459488	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5459490	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459492	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5459493	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459494	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459495	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum aestivum	Endosphere	Not available for this type of experiment	341F,785R
SRR5459497	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459498	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459499	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum turgidum	Endosphere	Not available for this type of experiment	341F,785R
SRR5459502	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459505	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459506	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Endosphere	Not available for this type of experiment	341F,785R
SRR5459508	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459509	naylor2017drought	Naylor et al. (2017)	Drought	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459512	naylor2017drought	Naylor et al. (2017)	Control	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459513	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Cenchrus americanus	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459514	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Cenchrus americanus	Endosphere	Not available for this type of experiment	341F,785R
SRR5459516	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459521	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459522	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5459523	naylor2017drought	Naylor et al. (2017)	Control	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5459524	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
SRR5459525	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459526	naylor2017drought	Naylor et al. (2017)	Drought	PACMAD clade	Sorghum bicolor	Endosphere	Not available for this type of experiment	341F,785R
SRR5459529	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459530	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Avena sativa	Endosphere	Not available for this type of experiment	341F,785R
SRR5459532	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum turgidum	Rhizosphere	Not available for this type of experiment	341F,785R
SRR5459533	naylor2017drought	Naylor et al. (2017)	Control	BOP clade	Triticum turgidum	Endosphere	Not available for this type of experiment	341F,785R
SRR5459534	naylor2017drought	Naylor et al. (2017)	Drought	Soil	Soil	Bulk soil	Not available for this type of experiment	341F,785R
