#SampleID	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Dependentiae	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__WPS-2	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Entotheonellaeota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__RCP2-54	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__Latescibacterota
SRR5224568	18.0	2320.0	10677.0	2285.0	2107.0	921.0	4910.0	6615.0	853.0	251.0	335.0	34.0	631.0	126.0	23.0	48.0	207.0	209.0	34.0	0.0	180.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
SRR5224569	0.0	443.0	4472.0	367.0	692.0	36.0	143.0	4534.0	0.0	0.0	27.0	59.0	0.0	40.0	0.0	0.0	0.0	55.0	0.0	0.0	211.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0
SRR5224570	17.0	1813.0	2724.0	424.0	605.0	277.0	2136.0	1273.0	531.0	51.0	81.0	0.0	238.0	70.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224571	0.0	7119.0	6488.0	954.0	1064.0	503.0	4558.0	4307.0	389.0	181.0	66.0	10.0	463.0	67.0	0.0	17.0	99.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224573	144.0	1495.0	7548.0	1287.0	1630.0	809.0	5770.0	2940.0	346.0	250.0	1215.0	248.0	1417.0	121.0	22.0	190.0	227.0	0.0	129.0	0.0	36.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5224574	0.0	2984.0	6505.0	630.0	502.0	247.0	3290.0	4828.0	474.0	237.0	126.0	46.0	396.0	0.0	0.0	15.0	114.0	72.0	0.0	0.0	16.0	0.0	11.0	0.0	17.0	0.0	0.0	0.0	0.0
SRR5224575	0.0	1202.0	6210.0	561.0	179.0	16.0	94.0	3249.0	28.0	0.0	66.0	102.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0
SRR5224576	35.0	10148.0	8284.0	1645.0	1444.0	1546.0	6234.0	2646.0	2536.0	515.0	45.0	268.0	1664.0	111.0	16.0	27.0	555.0	122.0	7.0	31.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0
SRR5224577	23.0	2878.0	6808.0	839.0	1350.0	684.0	4988.0	2912.0	359.0	246.0	285.0	9.0	1039.0	0.0	0.0	115.0	119.0	119.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
SRR5224579	20.0	3393.0	6831.0	2239.0	1710.0	1020.0	3449.0	4592.0	611.0	64.0	369.0	286.0	1336.0	34.0	193.0	164.0	70.0	41.0	27.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	58.0	0.0	0.0
