#SampleID	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Cyanobacteria	d__Bacteria;p__Gemmatimonadota	d__Bacteria;p__Planctomycetota	d__Bacteria;p__Myxococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Patescibacteria	d__Bacteria;p__Firmicutes	d__Bacteria;p__Chloroflexi	d__Bacteria;p__Fibrobacterota	d__Bacteria;p__Bdellovibrionota	d__Bacteria;p__Nitrospirota	d__Bacteria;p__Desulfobacterota	d__Bacteria;p__Armatimonadota	d__Bacteria;p__Elusimicrobiota	d__Bacteria;p__SAR324_clade(Marine_group_B)	d__Bacteria;p__Deinococcota	d__Bacteria;p__Dependentiae	d__Bacteria;p__RCP2-54	d__Bacteria;p__WPS-2	d__Bacteria;p__Latescibacterota	d__Bacteria;p__Abditibacteriota	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Sumerlaeota	d__Bacteria;p__TX1A-33	d__Bacteria;p__FCPU426	d__Bacteria;p__Halanaerobiaeota	d__Bacteria;p__MBNT15	d__Bacteria;p__Methylomirabilota	d__Bacteria;p__WS2
SRR11143389	769.0	1774.0	5091.0	2427.0	0.0	115.0	0.0	621.0	88.0	77.0	1085.0	259.0	145.0	82.0	0.0	75.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143392	172.0	3165.0	6170.0	2019.0	0.0	15.0	0.0	459.0	157.0	188.0	221.0	0.0	87.0	37.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143396	207.0	2234.0	5586.0	2353.0	0.0	43.0	12.0	580.0	76.0	224.0	69.0	0.0	112.0	130.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143398	4902.0	1727.0	4939.0	1895.0	0.0	747.0	424.0	351.0	529.0	124.0	1594.0	753.0	0.0	312.0	158.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143400	6732.0	1753.0	8478.0	4364.0	41.0	1193.0	131.0	444.0	2053.0	987.0	1029.0	1167.0	36.0	427.0	386.0	98.0	125.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143402	6979.0	4015.0	9051.0	4481.0	0.0	1361.0	214.0	527.0	2355.0	1108.0	2214.0	1844.0	52.0	519.0	255.0	79.0	133.0	0.0	64.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143405	4395.0	1927.0	4357.0	1274.0	0.0	560.0	92.0	98.0	540.0	193.0	1741.0	771.0	0.0	163.0	152.0	177.0	41.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143407	6446.0	4544.0	7783.0	2734.0	0.0	1183.0	400.0	1075.0	1691.0	333.0	800.0	1321.0	41.0	0.0	195.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143409	5334.0	2569.0	5517.0	2715.0	0.0	776.0	265.0	289.0	1504.0	325.0	756.0	1015.0	63.0	57.0	221.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143411	5920.0	3813.0	6268.0	2523.0	0.0	901.0	380.0	286.0	1084.0	437.0	863.0	736.0	65.0	25.0	227.0	0.0	42.0	27.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143413	6208.0	2920.0	6208.0	2122.0	0.0	851.0	248.0	557.0	783.0	256.0	527.0	648.0	0.0	51.0	239.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143416	5752.0	2384.0	5401.0	2035.0	0.0	777.0	273.0	470.0	802.0	239.0	1063.0	758.0	0.0	36.0	365.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143418	3439.0	2249.0	5124.0	2254.0	0.0	327.0	101.0	154.0	869.0	313.0	503.0	186.0	52.0	22.0	220.0	0.0	25.0	0.0	9.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143419	3432.0	2980.0	5158.0	2915.0	0.0	264.0	296.0	174.0	771.0	998.0	621.0	200.0	36.0	26.0	342.0	101.0	0.0	24.0	9.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143420	3852.0	2884.0	4440.0	2074.0	0.0	402.0	39.0	136.0	394.0	233.0	385.0	307.0	39.0	0.0	230.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR11143421	5108.0	3117.0	6191.0	2904.0	0.0	584.0	0.0	193.0	929.0	299.0	614.0	477.0	73.0	26.0	259.0	84.0	37.0	26.0	11.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
